,active_sw,age,bats,birth_city,birth_country,birth_date,birth_state,college,death_city,death_country,death_date,death_state,end_date,file_code,gender,height_feet,height_inches,high_school,jersey_number,name_display_first_last,name_display_first_last_html,name_display_last_first,name_display_last_first_html,name_display_roster,name_display_roster_html,name_first,name_full,name_last,name_matrilineal,name_middle,name_nick,name_prefix,name_title,name_use,player_id,primary_position,primary_position_txt,primary_sport_code,primary_stat_type,pro_debut_date,start_date,status,status_code,status_date,team_abbrev,team_code,team_id,team_name,throws,twitter_id,weight
341,N,47,S,Santa Clara,USA,1972-03-27T00:00:00,CA,UCLA,,,,,2009-04-04T00:00:00,tex,M,6,2,"Lincoln, CA",14,Adam Melhuse,Adam Melhuse,"Melhuse, Adam","Melhuse, Adam",Melhuse,Melhuse,Adam,"Melhuse, Adam",Melhuse,,Michael,,,,Adam,282597,2,C,mlb,hitting,2000-06-16T00:00:00,2009-01-15T00:00:00,NRI,NRI,2009-01-15T00:00:00,TEX,tex,140,Texas Rangers,R,,210
342,Y,29,R,Alexandria,USA,1989-10-09T00:00:00,VA,,,,,,,col,M,6,4,"Wentzville Holt, Wentzville, MO",38,Tim Melville,Tim Melville,"Melville, Tim","Melville, Tim",Melville,Melville,Timothy,"Melville, Tim",Melville,,Macgill,,,,Tim,543532,1,P,mlb,pitching,2016-04-10T00:00:00,2019-08-21T00:00:00,Active,A,2019-08-21T00:00:00,COL,col,115,Colorado Rockies,R,,225
343,N,44,L,Ciudad Bolivar,Venezuela,1974-11-04T00:00:00,,,,,,,2000-10-15T00:00:00,col,M,5,11,,29,Carlos Mendoza,Carlos Mendoza,"Mendoza, Carlos","Mendoza, Carlos",Mendoza,Mendoza,Carlos,"Mendoza, Carlos",Mendoza,,Ramon,,,,Carlos,118943,7,LF,mlb,hitting,1997-09-03T00:00:00,2000-04-01T00:00:00,Free agent,FA,2000-04-01T00:00:00,COL,col,115,Colorado Rockies,L,,165
344,N,51,L,Dublin,USA,1968-02-01T00:00:00,OH,,,,,,2008-10-31T00:00:00,cin,M,6,2,"Dublin, OH",50,Kent Mercker,Kent Mercker,"Mercker, Kent","Mercker, Kent",Mercker,Mercker,Kent,"Mercker, Kent",Mercker,,Franklin,,,,Kent,118967,1,P,mlb,pitching,1989-09-22T00:00:00,2008-06-03T00:00:00,Free agent,FA,2008-06-03T00:00:00,CIN,cin,113,Cincinnati Reds,L,,205
345,N,53,R,Pueblo Viejo,Dominican Republic,1966-05-22T00:00:00,,,,,,,2007-10-29T00:00:00,phi,M,6,3,"Santa, Azua, DOM",49,Jose Mesa,Jose Mesa,"Mesa, Jose","Mesa, Jose",Mesa,Mesa,Jose,"Mesa, Jose",Mesa,,Ramon,Joe Table,,,Jose,118986,1,P,mlb,pitching,1987-09-10T00:00:00,2007-06-09T00:00:00,Free agent,FA,2007-06-09T00:00:00,PHI,phi,143,Philadelphia Phillies,R,,235
346,N,48,R,Newark,USA,1970-09-09T00:00:00,NJ,,,,,,2007-03-29T00:00:00,tb,M,6,0,"Dr. Phillips, Orlando, FL",33,Dan Miceli,Dan Miceli,"Miceli, Dan","Miceli, Dan",Miceli,Miceli,Daniel,"Miceli, Dan",Miceli,,,,,,Dan,119023,1,P,mlb,pitching,1993-09-09T00:00:00,2006-01-12T00:00:00,Released,RL,2006-01-12T00:00:00,TB,tba,139,Tampa Bay Rays,R,,230
347,N,42,S,Pittsburg,USA,1976-12-15T00:00:00,CA,,,,,,2012-05-11T00:00:00,la,M,5,8,"Antioch, CA",,Aaron Miles,Aaron Miles,"Miles, Aaron","Miles, Aaron",Miles,Miles,Aaron,"Miles, Aaron",Miles,,Wade,,,,Aaron,425446,4,2B,mlb,hitting,2003-09-11T00:00:00,2012-05-11T00:00:00,Signed,MIN,2012-05-11T00:00:00,LAD,lan,119,Los Angeles Dodgers,R,,180
348,Y,37,R,Randolph,USA,1982-04-28T00:00:00,NJ,Louisiana - Monroe,,,,,2017-04-01T00:00:00,min,M,6,1,"North Fort Myers, FL",93,Jim Miller,Jim Miller,"Miller, Jim","Miller, Jim","Miller, Ji","Miller, Ji",James,"Miller, Jim",Miller,,Matthew,,,,Jim,461848,1,P,mlb,pitching,2008-09-01T00:00:00,2017-03-12T00:00:00,Signed,MIN,2017-03-12T00:00:00,MIN,min,142,Minnesota Twins,R,,200
349,Y,32,R,Bakersfield,USA,1987-06-13T00:00:00,CA,Fresno State,,,,,2019-08-01T00:00:00,was,M,6,3,"Ridgeview, Bakersfield, CA",60,Justin Miller,Justin Miller,"Miller, Justin","Miller, Justin",Miller,Miller,Justin,"Miller, Justin",Miller,,Ryan,J. Millz,,,Justin,502522,1,P,mlb,pitching,2014-04-18T00:00:00,2019-05-18T00:00:00,Signed,MIN,2019-08-01T00:00:00,WSH,was,120,Washington Nationals,R,,215
350,N,47,R,Greenwood,USA,1971-11-23T00:00:00,MS,Delta State,,,,,2008-02-05T00:00:00,bos,M,6,3,"Leland, MS",,Matt Miller,Matt Miller,"Miller, Matt","Miller, Matt","Miller, M","Miller, M",Matt,"Miller, Matt",Miller,,Jacob,,,,Matt,285080,1,P,mlb,pitching,2003-06-27T00:00:00,2008-02-05T00:00:00,Signed,MIN,2008-02-05T00:00:00,BOS,bos,111,Boston Red Sox,R,@mattmiller59,215
